source_id,target_id,relationship_type
CUST_000001,ACC_000000001,owns_account
CUST_000001,ACC_000000002,owns_account
CUST_000001,ACC_000000003,owns_account
CUST_000002,ACC_000000004,owns_account
CUST_000002,ACC_000000005,owns_account
CUST_000002,ACC_000000006,owns_account
CUST_000003,ACC_000000007,owns_account
CUST_000004,ACC_000000008,owns_account
CUST_000004,ACC_000000009,owns_account
CUST_000004,ACC_000000010,owns_account
CUST_000005,ACC_000000011,owns_account
CUST_000005,ACC_000000012,owns_account
CUST_000006,ACC_000000013,owns_account
CUST_000006,ACC_000000014,owns_account
CUST_000006,ACC_000000015,owns_account
CUST_000007,ACC_000000016,owns_account
CUST_000007,ACC_000000017,owns_account
CUST_000008,ACC_000000018,owns_account
CUST_000008,ACC_000000019,owns_account
CUST_000009,ACC_000000020,owns_account
CUST_000010,ACC_000000021,owns_account
CUST_000010,ACC_000000022,owns_account
CUST_000010,ACC_000000023,owns_account
CUST_000011,ACC_000000024,owns_account
CUST_000011,ACC_000000025,owns_account
CUST_000012,ACC_000000026,owns_account
CUST_000012,ACC_000000027,owns_account
CUST_000012,ACC_000000028,owns_account
CUST_000013,ACC_000000029,owns_account
CUST_000014,ACC_000000030,owns_account
CUST_000015,ACC_000000031,owns_account
CUST_000015,ACC_000000032,owns_account
CUST_000015,ACC_000000033,owns_account
CUST_000016,ACC_000000034,owns_account
CUST_000016,ACC_000000035,owns_account
CUST_000017,ACC_000000036,owns_account
CUST_000018,ACC_000000037,owns_account
CUST_000018,ACC_000000038,owns_account
CUST_000019,ACC_000000039,owns_account
CUST_000019,ACC_000000040,owns_account
CUST_000020,ACC_000000041,owns_account
CUST_000020,ACC_000000042,owns_account
CUST_000020,ACC_000000043,owns_account
CUST_000021,ACC_000000044,owns_account
CUST_000022,ACC_000000045,owns_account
CUST_000022,ACC_000000046,owns_account
CUST_000022,ACC_000000047,owns_account
CUST_000023,ACC_000000048,owns_account
CUST_000023,ACC_000000049,owns_account
CUST_000023,ACC_000000050,owns_account
CUST_000024,ACC_000000051,owns_account
CUST_000024,ACC_000000052,owns_account
CUST_000024,ACC_000000053,owns_account
CUST_000025,ACC_000000054,owns_account
CUST_000025,ACC_000000055,owns_account
CUST_000026,ACC_000000056,owns_account
CUST_000026,ACC_000000057,owns_account
CUST_000026,ACC_000000058,owns_account
CUST_000027,ACC_000000059,owns_account
CUST_000028,ACC_000000060,owns_account
CUST_000028,ACC_000000061,owns_account
CUST_000029,ACC_000000062,owns_account
CUST_000029,ACC_000000063,owns_account
CUST_000029,ACC_000000064,owns_account
CUST_000030,ACC_000000065,owns_account
CUST_000031,ACC_000000066,owns_account
CUST_000031,ACC_000000067,owns_account
CUST_000031,ACC_000000068,owns_account
CUST_000032,ACC_000000069,owns_account
CUST_000032,ACC_000000070,owns_account
CUST_000032,ACC_000000071,owns_account
CUST_000033,ACC_000000072,owns_account
CUST_000033,ACC_000000073,owns_account
CUST_000033,ACC_000000074,owns_account
CUST_000034,ACC_000000075,owns_account
CUST_000034,ACC_000000076,owns_account
CUST_000035,ACC_000000077,owns_account
CUST_000035,ACC_000000078,owns_account
CUST_000035,ACC_000000079,owns_account
CUST_000036,ACC_000000080,owns_account
CUST_000037,ACC_000000081,owns_account
CUST_000037,ACC_000000082,owns_account
CUST_000037,ACC_000000083,owns_account
CUST_000038,ACC_000000084,owns_account
CUST_000038,ACC_000000085,owns_account
CUST_000038,ACC_000000086,owns_account
CUST_000039,ACC_000000087,owns_account
CUST_000039,ACC_000000088,owns_account
CUST_000040,ACC_000000089,owns_account
CUST_000040,ACC_000000090,owns_account
CUST_000040,ACC_000000091,owns_account
CUST_000041,ACC_000000092,owns_account
CUST_000042,ACC_000000093,owns_account
CUST_000043,ACC_000000094,owns_account
CUST_000043,ACC_000000095,owns_account
CUST_000043,ACC_000000096,owns_account
CUST_000044,ACC_000000097,owns_account
CUST_000045,ACC_000000098,owns_account
CUST_000046,ACC_000000099,owns_account
CUST_000046,ACC_000000100,owns_account
CUST_000046,ACC_000000101,owns_account
CUST_000047,ACC_000000102,owns_account
CUST_000048,ACC_000000103,owns_account
CUST_000049,ACC_000000104,owns_account
CUST_000049,ACC_000000105,owns_account
CUST_000049,ACC_000000106,owns_account
CUST_000050,ACC_000000107,owns_account
CUST_000050,ACC_000000108,owns_account
CUST_000051,ACC_000000109,owns_account
CUST_000051,ACC_000000110,owns_account
CUST_000052,ACC_000000111,owns_account
CUST_000052,ACC_000000112,owns_account
CUST_000052,ACC_000000113,owns_account
CUST_000053,ACC_000000114,owns_account
CUST_000053,ACC_000000115,owns_account
CUST_000054,ACC_000000116,owns_account
CUST_000054,ACC_000000117,owns_account
CUST_000055,ACC_000000118,owns_account
CUST_000055,ACC_000000119,owns_account
CUST_000056,ACC_000000120,owns_account
CUST_000056,ACC_000000121,owns_account
CUST_000057,ACC_000000122,owns_account
CUST_000057,ACC_000000123,owns_account
CUST_000057,ACC_000000124,owns_account
CUST_000058,ACC_000000125,owns_account
CUST_000058,ACC_000000126,owns_account
CUST_000059,ACC_000000127,owns_account
CUST_000059,ACC_000000128,owns_account
CUST_000060,ACC_000000129,owns_account
CUST_000060,ACC_000000130,owns_account
CUST_000060,ACC_000000131,owns_account
CUST_000061,ACC_000000132,owns_account
CUST_000061,ACC_000000133,owns_account
CUST_000061,ACC_000000134,owns_account
CUST_000062,ACC_000000135,owns_account
CUST_000062,ACC_000000136,owns_account
CUST_000063,ACC_000000137,owns_account
CUST_000064,ACC_000000138,owns_account
CUST_000064,ACC_000000139,owns_account
CUST_000064,ACC_000000140,owns_account
CUST_000065,ACC_000000141,owns_account
CUST_000065,ACC_000000142,owns_account
CUST_000065,ACC_000000143,owns_account
